date,F_0_51_T_1_0,F_1_01_T_1_5,F_1_51_T_2_0,F_2_01_T_2_5,F_2_51_T_3_0,F_3_01_T_3_5,test,25_Perc, Median ,75_Perc
01/18/11,5,10,24,34,19,9,101,2,2.25,2.5
03/07/11,5,12,24,32,18,9,100,2.15,2.3,2.5
04/18/11,4,11,22,30,22,10,99,2.08,2.3,2.5
06/13/11,5,10,25,32,19,9,100,2,2.28,2.5
08/01/11,5,11,23,30,21,10,100,2,2.3,2.5
09/12/11,5,10,21,32,22,10,100,2,2.3,2.5
10/24/11,4,10,22,32,22,10,100,2,2.3,2.5
12/05/11,4,10,22,32,21,10,99,2,2.3,2.5
01/17/12,4,11,23,31,21,10,100,2,2.3,2.5
03/05/12,4,11,23,33,19,10,100,2,2.23,2.5
04/16/12,4,10,23,32,21,10,100,2,2.25,2.5
06/11/12,4,11,24,31,21,10,101,2,2.25,2.5
07/23/12,4,12,26,30,19,9,100,2,2.25,2.5
09/04/12,4,9,24,33,20,9,99,2,2.25,2.5
10/15/12,4,9,22,34,21,9,99,2,2.25,2.5
11/29/12,4,9,24,34,20,9,100,2,2.25,2.5
01/22/13,3,10,24,34,20,10,101,2,2.25,2.5
03/07/13,3,9,24,34,19,10,99,2,2.25,2.5
04/22/13,3,11,23,31,20,11,99,2,2.25,2.5
06/10/13,3,11,25,32,18,10,99,2,2.25,2.5
07/22/13,3,11,25,33,18,10,100,2,2.25,2.4
09/09/13,3,11,25,33,18,10,100,2,2.2,2.4
10/22/13,3,10,25,35,18,9,100,2,2.2,2.4
12/09/13,4,10,25,33,19,9,100,2,2.1,2.38
01/21/14,4,10,25,33,19,9,100,2,2.2,2.4
03/10/14,3,10,25,34,19,9,100,2.05,2.2,2.38
04/22/14,3,11,25,32,20,9,100,2.1,2.2,2.4
06/09/14,3,10,24,34,19,9,99,2.16,2.28,2.38
07/21/14,3,10,24,34,20,9,100,2.2,2.3,2.44
09/08/14,3,10,24,34,19,9,99,2.2,2.3,2.39
10/20/14,3,11,24,35,18,9,100,2.2,2.2,2.39
12/08/14,3,10,25,38,17,7,100,2,2.2,2.3
01/20/15,3,10,26,37,17,7,100,2,2.2,2.3
03/09/15,3,9,25,38,18,7,100,2,2.2,2.4
04/16/15,3,9,24,38,18,8,100,2,2.23,2.3
06/04/15,3,9,23,40,18,7,100,2,2.25,2.4
07/20/15,3,9,23,40,17,7,99,2,2.25,2.4
09/08/15,3,9,25,40,16,7,100,2.2,2.3,2.4
10/19/15,3,9,25,40,16,7,100,2.1,2.3,2.4
12/07/15,3,10,28,37,16,6,100,2.1,2.25,2.3
01/19/16,3,10,27,40,15,6,101,2.1,2.28,2.3
03/07/16,3,10,27,39,15,6,100,2.1,2.28,2.3
04/18/16,3,10,27,38,16,6,100,2,2.25,2.3
06/06/16,3,9,29,39,15,5,100,2.1,2.25,2.3
07/18/16,3,10,28,39,15,6,101,2.1,2.2,2.3
09/12/16,3,10,28,38,15,5,99,2.1,2.2,2.3
10/24/16,3,10,27,39,15,5,99,2,2.2,2.3
12/05/16,4,9,28,37,16,7,101,2,2.2,2.3
01/23/17,3,9,27,39,16,6,100,2.1,2.25,2.3
03/06/17,3,10,26,40,16,6,101,2.1,2.25,2.3
04/24/17,3,10,26,38,17,6,100,2.1,2.3,2.3
06/05/17,4,10,27,38,16,6,101,2.1,2.25,2.3
07/17/17,4,10,24,41,15,6,100,2.1,2.25,2.3
09/11/17,4,10,29,37,14,6,100,2,2.2,2.3
10/23/17,4,10,26,40,15,6,101,2,2.2,2.3
